Слово;Частота;Частота(%)
сам;14;0.0204025
всей;14;0.0204025
слышала;14;0.0204025
живет;14;0.0204025
виски;14;0.0204025
говоря;14;0.0204025
рассказать;13;0.0189452
вообще;13;0.0189452
ближе;13;0.0189452
каждой;13;0.0189452
мужчину;13;0.0189452
поскольку;13;0.0189452
решил;13;0.0189452
стола;13;0.0189452
тому;13;0.0189452
выглядел;13;0.0189452
кажется;13;0.0189452
глазами;13;0.0189452
вниз;13;0.0189452
магазина;13;0.0189452
казалось;13;0.0189452
Джона;13;0.0189452
убийством;13;0.0189452
Дженна;13;0.0189452
можете;13;0.0189452
такие;13;0.0189452
одну;13;0.0189452
достаточно;13;0.0189452
 ;13;0.0189452
одной;13;0.0189452
увидеть;13;0.0189452
удастся;13;0.0189452
своими;13;0.0189452
лица;13;0.0189452
задумалась;13;0.0189452
начал;13;0.0189452
»;13;0.0189452
вещи;13;0.0189452
знаете;13;0.0189452
К;13;0.0189452
другом;13;0.0189452
автомобиль;13;0.0189452
встала;13;0.0189452
ручку;13;0.0189452
сможет;13;0.0189452
кем;13;0.0189452
Где;13;0.0189452
Мистер;13;0.0189452
совсем;13;0.0189452
своим;13;0.0189452
Этот;13;0.0189452
темноте;13;0.0189452
теории;13;0.0189452
руке;13;0.0189452
звук;13;0.0189452
девушек;13;0.0189452
первой;13;0.0189452
порядке;13;0.0189452
никого;13;0.0189452
делал;13;0.0189452
конца;13;0.0189452
раны;13;0.0189452
менее;13;0.0189452
думать;13;0.0189452
информацию;13;0.0189452
зовут;13;0.0189452
внутри;13;0.0189452
пытался;12;0.0174879
Дамер;12;0.0174879
услышала;12;0.0174879
возле;12;0.0174879
ночи;12;0.0174879
кофе;12;0.0174879
окно;12;0.0174879
дня;12;0.0174879
боль;12;0.0174879
надеялась;12;0.0174879
принялся;12;0.0174879
скорее;12;0.0174879
успела;12;0.0174879
номер;12;0.0174879
четырех;12;0.0174879
положила;12;0.0174879
Прежде;12;0.0174879
впервые;12;0.0174879
утром;12;0.0174879
медленно;12;0.0174879
теорию;12;0.0174879
хотите;12;0.0174879
потом;12;0.0174879
диван;12;0.0174879
стояла;12;0.0174879
Поэтому;12;0.0174879
окна;12;0.0174879
произошло;12;0.0174879
работе;12;0.0174879
Несмотря;12;0.0174879
лицом;12;0.0174879
часто;12;0.0174879
знать;12;0.0174879
случае;12;0.0174879
Тогда;12;0.0174879
образом;12;0.0174879
нашли;12;0.0174879
подошла;12;0.0174879
улице;11;0.0160305
хотелось;11;0.0160305
вопросов;11;0.0160305
Тот;11;0.0160305
черт;11;0.0160305
больницу;11;0.0160305
мимо;11;0.0160305
Должно;11;0.0160305
абсолютно;11;0.0160305
взял;11;0.0160305
истории;11;0.0160305
вышел;11;0.0160305
действительно;11;0.0160305
мной;11;0.0160305
могли;11;0.0160305
коронера;11;0.0160305
можешь;11;0.0160305
вами;11;0.0160305
закричал;11;0.0160305
закричала;11;0.0160305
девушка;11;0.0160305
Шериф;11;0.0160305
Меня;11;0.0160305
несмотря;11;0.0160305
вошла;11;0.0160305
Хармен;11;0.0160305
никто;11;0.0160305
ночь;11;0.0160305
Харрису;11;0.0160305
лбу;11;0.0160305
открылась;11;0.0160305
отсюда;11;0.0160305
другие;11;0.0160305
офицеров;11;0.0160305
Вам;11;0.0160305
Ричардса;11;0.0160305
Просто;11;0.0160305
офицеры;11;0.0160305
полено;11;0.0160305
Ну;11;0.0160305
попасть;11;0.0160305
принялась;11;0.0160305
провел;11;0.0160305
работа;11;0.0160305
иначе;11;0.0160305
работу;11;0.0160305
рождения;11;0.0160305
самых;11;0.0160305
серийного;11;0.0160305
гостиной;11;0.0160305
силуэт;11;0.0160305
сказали;11;0.0160305
спасибо;11;0.0160305
способ;11;0.0160305
стены;11;0.0160305
каждый;11;0.0160305
стоит;11;0.0160305
теория;11;0.0160305
тогда;11;0.0160305
Алексу;11;0.0160305
находится;11;0.0160305
ту;11;0.0160305
Ничего;11;0.0160305
убийствах;11;0.0160305
углу;11;0.0160305
вопрос;11;0.0160305
шаг;10;0.0145732
надеясь;10;0.0145732
череп;10;0.0145732
поспешила;10;0.0145732
куда;10;0.0145732
момента;10;0.0145732
учитывая;10;0.0145732
узнать;10;0.0145732
шагов;10;0.0145732
видеть;10;0.0145732
собирается;10;0.0145732
известно;10;0.0145732
кроме;10;0.0145732
вечер;10;0.0145732
свете;10;0.0145732
шаги;10;0.0145732
кому;10;0.0145732
станет;10;0.0145732
связь;10;0.0145732
комнате;10;0.0145732
Келли;10;0.0145732
Есть;10;0.0145732
эта;10;0.0145732
магазине;10;0.0145732
голова;10;0.0145732
Убийца;10;0.0145732
Эд;10;0.0145732
машина;10;0.0145732
подошел;10;0.0145732
сколько;10;0.0145732
посмотрел;10;0.0145732
сзади;10;0.0145732
готова;10;0.0145732
Сейчас;10;0.0145732
знаешь;10;0.0145732
пальцев;10;0.0145732
говорила;10;0.0145732
убить;10;0.0145732
такси;10;0.0145732
Казалось;10;0.0145732
таком;10;0.0145732
молчание;10;0.0145732
всеми;10;0.0145732
Кажется;10;0.0145732
кровь;10;0.0145732
такого;10;0.0145732
другим;10;0.0145732
пришла;10;0.0145732
убийстве;10;0.0145732
направилась;10;0.0145732
Кемпер;10;0.0145732
офисе;10;0.0145732
оружие;10;0.0145732
мест;10;0.0145732
могло;10;0.0145732
Иногда;10;0.0145732
пяти;10;0.0145732
жертва;10;0.0145732
поймать;10;0.0145732
явно;10;0.0145732
разговор;10;0.0145732
Было;10;0.0145732
совершить;10;0.0145732
первый;10;0.0145732
Билл;10;0.0145732
Баркер;10;0.0145732
которую;10;0.0145732
воздух;10;0.0145732
Ему;10;0.0145732
ряд;10;0.0145732
самого;10;0.0145732
столе;10;0.0145732
послышались;9;0.0131159
последовало;9;0.0131159
шее;9;0.0131159
Давай;9;0.0131159
часа;9;0.0131159
час;9;0.0131159
хранил;9;0.0131159
Дверь;9;0.0131159
хоть;9;0.0131159
спину;9;0.0131159
неделю;9;0.0131159
Девушка;9;0.0131159
говорил;9;0.0131159
секунду;9;0.0131159
футов;9;0.0131159
факты;9;0.0131159
лицу;9;0.0131159
правду;9;0.0131159
ногу;9;0.0131159
Корнетт;9;0.0131159
уверен;9;0.0131159
положил;9;0.0131159
почувствовал;9;0.0131159
десять;9;0.0131159
девушки;9;0.0131159
говорит;9;0.0131159
живут;9;0.0131159
кухню;9;0.0131159
Мии;9;0.0131159
